Rank,Driver_Number,Team,Country,Driver,Hours,Minutes,Seconds,Variation_Hours,Variation_Minutes,Variation_Seconds,Penalty_Hours,Penalty_Minutes,Penalty_Seconds,Stage
5,42,MONSTER ENERGY HONDA TEAM,France,ADRIEN VAN BEVEREN,17,49,43,0,22,30,0,0,0,4
6,1,HUSQVARNA FACTORY RACING,Argentina,LUCIANO BENAVIDES,17,58,24,0,31,11,0,0,0,4
7,7,MONSTER ENERGY HONDA TEAM,Chile,PABLO QUINTANILLA,17,58,57,0,31,44,0,6,0,4
8,2,RED BULL KTM FACTORY RACING,Australia,TOBY PRICE,18,2,7,0,34,54,0,0,0,4
9,23,ORION - MOTO RACING GROUP,Czech Republic,MARTIN MICHEK,18,5,24,0,38,11,0,0,0,4
10,16,TEAM DUMONTIER RACING,France,ROMAIN DUMONTIER,18,5,57,0,38,44,0,0,0,4
11,5,RED BULL GASGAS FACTORY RACING,Australia,DANIEL SANDERS,18,6,56,0,39,43,0,0,0,4
12,88,HERO MOTOSPORTS TEAM RALLY,Spain,JOAN BARREDA BORT,18,9,47,0,42,34,0,21,0,4
13,10,MONSTER ENERGY HONDA TEAM,United States,SKYLER HOWES,18,15,52,0,48,39,0,0,0,4
14,19,SHERCO RALLY FACTORY,Portugal,RUI GONÇALVES,18,21,41,0,54,28,0,0,0,4
15,142,SLOVNAFT RALLY TEAM,Slovakia,STEFAN SVITKO,18,23,12,0,55,59,0,0,0,4
16,76,DUUST RALLY TEAM,France,JEANLOUP LEPAN,18,39,14,1,12,1,0,0,0,4
17,28,BAS WORLD KTM RACING TEAM,France,MATHIEU DOVEZE,18,45,35,1,18,22,0,0,0,4
18,20,SHERCO TVS RALLY FACTORY,India,HARITH NOAH,18,47,26,1,20,13,0,0,0,4
19,24,BAS WORLD KTM RACING TEAM,Slovenia,TONI MULEC,18,50,32,1,23,19,0,0,0,4
20,17,BAS WORLD KTM RACING TEAM,Italy,PAOLO LUCCI,18,53,47,1,26,34,0,0,0,4
21,18,BAS WORLD KTM RACING TEAM,South Africa,BRADLEY COX,18,54,59,1,27,46,0,2,0,4
22,26,DUUST RALLY TEAM,Poland,KONRAD DABROWSKI,19,7,0,1,39,47,0,0,0,4
