Page,Form,Rank,Team,Athlete,Score,Remark
,Men's bare-hand routines_Other routines Group C,9,EGY,Omar ELSHOURBAGI,8.2,
,Men's bare-hand routines_Other routines Group C,10,EGY,Moustafa ZARA,8.19,
Wushu Taolu,Women's Fifth-type bare-hand routines_Shaolinquan Group E,1,AUS,Rosemary HERMANS,8.55,First Prize
,Women's Fifth-type bare-hand routines_Shaolinquan Group E,2,HUN,Szilvia GARAMI,8.54,Second Prize
,Women's Fifth-type bare-hand routines_Shaolinquan Group E,3,HUN,Mária ARUTYUNJAN,8.53,Second Prize
,Women's Fifth-type bare-hand routines_Shaolinquan Group E,4,INA,Ivonny BUDIONO,8.48,Third Prize
,Women's Fifth-type bare-hand routines_Shaolinquan Group E,5,BRA,Renata Cristina LIU,8.41,Third Prize
,Women's Fifth-type bare-hand routines_Shaolinquan Group E,6,GRE,Maria KONSTANTINOU,8.36,
,Women's Fifth-type bare-hand routines_Shaolinquan Group E,Default,INA,Kris DAYANTI,,
Wushu Taolu,Men's First-type bare-hand routines_Bajiquan Group A,1,CAN,Ronghou LI,7.51,First Prize
,Men's First-type bare-hand routines_Bajiquan Group A,2,USA,Aiden LIANG,7.4,First Prize
,Men's First-type bare-hand routines_Bajiquan Group A,3,INA,Muhammad Rifat Azhar WIBOWO,7.38,Second Prize
,Men's First-type bare-hand routines_Bajiquan Group A,4,NZL,Noah Junwei LIU,7.37,Second Prize
,Men's First-type bare-hand routines_Bajiquan Group A,5,AUS,Jones Dave SANJO,7.27,Third Prize
,Men's First-type bare-hand routines_Bajiquan Group A,6,CAN,Eden Jing Cheng LIU,7.26,Third Prize
,Men's First-type bare-hand routines_Bajiquan Group A,7,USA,Greyson TURNBULL,7.26,Third Prize
,Men's First-type bare-hand routines_Bajiquan Group A,Default,EGY,Moaz Mahmoud Fathy Sayed,,
Wushu Taolu,Men's Third-type bare-hand routines Group A,1,USA,Frederick LI,7.76,First Prize
,Men's Third-type bare-hand routines Group A,2,MAC,ZHENG Kun Pang,7.56,First Prize
,Men's Third-type bare-hand routines Group A,3,FRA,Léo SCHUR CHEN,7.49,Second Prize
,Men's Third-type bare-hand routines Group A,4,MAC,TANG Pak Him,7.45,Second Prize
,Men's Third-type bare-hand routines Group A,5,HKG,LYU Mingqian,7.35,Third Prize
,Men's Third-type bare-hand routines Group A,6,USA,Augustine DENG,7.23,Third Prize
,Men's Third-type bare-hand routines Group A,7,MEX,Santiago ATANACIO CASAS,7.2,Third Prize
Wushu Taolu,Men's Fourth-type bare-hand routine_Chaquan Group A,1,HKG,FUNG Yat,7.8,Gold
,Men's Fourth-type bare-hand routine_Chaquan Group A,2,SGP,WENG Linrui,7.56,Silver
,Men's Fourth-type bare-hand routine_Chaquan Group A,3,NZL,Villa ZHANG,7.5,Bronze
,Men's Fourth-type bare-hand routine_Chaquan Group A,4,USA,Henry ZHOU,7.48,Second Prize
,Men's Fourth-type bare-hand routine_Chaquan Group A,5,INA,Brandon GUNAWAN,7.45,Second Prize
,Men's Fourth-type bare-hand routine_Chaquan Group A,6,LAT,Ilja KISELOVS,7.4,Second Prize
,Men's Fourth-type bare-hand routine_Chaquan Group A,7,USA,Henry Mengxuan HE,7.26,Third Prize
,Men's Fourth-type bare-hand routine_Chaquan Group A,8,USA,Atharva DATAR,7.25,Third Prize
,Men's Fourth-type bare-hand routine_Chaquan Group A,9,HKG,ZHENG Adrian,7.2,Third Prize
,Men's Fourth-type bare-hand routine_Chaquan Group A,10,USA,Brendan HOANG,7.16,Third Prize
,Men's Fourth-type bare-hand routine_Chaquan Group A,11,IND,Messi LAISHRAM,7.15,
,Men's Fourth-type bare-hand routine_Chaquan Group A,12,USA,Weihang YAN,7.12,
,Men's Fourth-type bare-hand routine_Chaquan Group A,Default,AFG,Karokhi MOHAMMAD HASSAN,,
Wushu Taolu,Men's Fifth-type bare-hand routines_Shaolinquan Group A,1,GRE,Adrianos Marios SEITANIDIS,7.5,First Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group A,2,GRE,Charalambos PAVLOPOULOS,7.48,First Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group A,3,INA,Kenzo Athalla KAFI,7.41,Second Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group A,4,USA,Kai Parker AU-YEUNG,7.25,Second Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group A,5,USA,Hardy WANG,7.2,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group A,6,MEX,Sergio Leonardo ABARCA CAZARES,7.1,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group A,7,EGY,Omar KARAMALLA,6.7,Third Prize
Wushu Taolu,Men's bare-hand routines_Other routines Group A,1,USA,Alex LI,7.67,Gold
,Men's bare-hand routines_Other routines Group A,2,HKG,LYU Mingze,7.66,Silver
,Men's bare-hand routines_Other routines Group A,3,FRA,Lorenzo REZZONICO,7.48,Bronze
,Men's bare-hand routines_Other routines Group A,4,HKG,YU Jianan,7.42,Second Prize
,Men's bare-hand routines_Other routines Group A,5,NZL,Ruize GUI,7.38,Second Prize
,Men's bare-hand routines_Other routines Group A,6,CAN,LI Wangsen,7.31,Second Prize
,Men's bare-hand routines_Other routines Group A,7,USA,Micah YU,7.29,Third Prize
,Men's bare-hand routines_Other routines Group A,8,USA,Zephyr Alexander REGAN,7.27,Third Prize
,Men's bare-hand routines_Other routines Group A,9,HKG,LO Brandon Chak Kwan,7.26,Third Prize
,Men's bare-hand routines_Other routines Group A,10,NZL,Liyou LI,7.25,Third Prize
,Men's bare-hand routines_Other routines Group A,11,CAN,Albert ZHAO,7.23,Third Prize
,Men's bare-hand routines_Other routines Group A,12,BRU,Jacob Oliver CHUA,7.23,Third Prize
,Men's bare-hand routines_Other routines Group A,13,NZL,Nitai GRBIN,7.19,
,Men's bare-hand routines_Other routines Group A,14,CAN,Zizai YU,7.19,
,Men's bare-hand routines_Other routines Group A,15,USA,Kevin Jingcheng ZHANG,7.17,
Wushu Taolu,Men's First-type bare-hand routines_Bajiquan Group B,1,USA,Aaron PINEDO,8.46,First Prize
,Men's First-type bare-hand routines_Bajiquan Group B,2,LAT,Mihails FISKISS,8.42,Second Prize
,Men's First-type bare-hand routines_Bajiquan Group B,3,USA,Jared ARROYO,8.39,Second Prize
,Men's First-type bare-hand routines_Bajiquan Group B,4,EGY,Sif SALAMA,8.37,Third Prize
,Men's First-type bare-hand routines_Bajiquan Group B,5,AUS,Haolong Carlos LI,8.34,Third Prize
,Men's First-type bare-hand routines_Bajiquan Group B,6,CAN,Jing Hao Alexander NG,8.29,Third Prize
,Men's First-type bare-hand routines_Bajiquan Group B,7,MAC,CHAN Chi Hin,8.26,
Wushu Taolu,Men's Second-type bare-hand routine Group B,1,HKG,HE Dragon,8.68,First Prize
,Men's Second-type bare-hand routine Group B,2,SVK,Martin GáLIS,8.54,Second Prize
,Men's Second-type bare-hand routine Group B,3,USA,Adam CHAI,8.53,Second Prize
,Men's Second-type bare-hand routine Group B,4,USA,Aaron LIANG,8.36,Third Prize
,Men's Second-type bare-hand routine Group B,5,MAC,CHEOK Wa Weng,8.29,Third Prize
,Men's Second-type bare-hand routine Group B,6,USA,Ethan YUE,8.21,
Wushu Taolu,Men's Third-type bare-hand routines Group B,1,USA,Timothy TAFF,8.52,First Prize
,Men's Third-type bare-hand routines Group B,2,IND,Sri Varshan SURESH KUMAR,8.43,Second Prize
,Men's Third-type bare-hand routines Group B,3,BRA,Lorenzo SAVIANE ANTOGNOLLI,8.4,Second Prize
,Men's Third-type bare-hand routines Group B,4,USA,Ethan CHAN,8.33,Third Prize
,Men's Third-type bare-hand routines Group B,5,MEX,Bruno Armando DELGADO HOLGUIN,8.33,Third Prize
,Men's Third-type bare-hand routines Group B,6,FRA,Andrej DENIC,8.28,Third Prize
,Men's Third-type bare-hand routines Group B,7,CAN,Michael Yujia HAO,8.11,
,Men's Third-type bare-hand routines Group B,Default,FRA,Murphy MOU SANG,,
Wushu Taolu,Men's Fourth-type bare-hand routine_Chaquan Group B,1,SGP,CHIA Hong Jie Ayden,8.49,First Prize
,Men's Fourth-type bare-hand routine_Chaquan Group B,2,USA,Matthew Yum Ping WONG,8.41,Second Prize
,Men's Fourth-type bare-hand routine_Chaquan Group B,3,AUS,Ashton Tsz Pui CHAN,8.39,Second Prize
,Men's Fourth-type bare-hand routine_Chaquan Group B,4,HKG,WONG Remus,8.31,Third Prize
,Men's Fourth-type bare-hand routine_Chaquan Group B,5,USA,Miles GAAN,8.23,Third Prize
,Men's Fourth-type bare-hand routine_Chaquan Group B,6,USA,Bryan TSUN,8.21,
Wushu Taolu,Men's Fifth-type bare-hand routines_Shaolinquan Group B,1,GRE,Konstantinos LIAPIS,8.65,First Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group B,2,MAS,NG Ricky Jia Cheng,8.49,Second Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group B,3,KAZ,Rinat MARAYEV,8.46,Second Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group B,4,MAS,TAN Darren Guan Liang,8.4,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group B,5,GRE,Odysseas THEODOROU,8.38,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group B,6,USA,Yabin YANG,8.33,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group B,7,USA,Logan Xavier AU-YEUNG,8.31,
,Men's Fifth-type bare-hand routines_Shaolinquan Group B,8,EGY,Mansour ELALAMI,8.09,
,Men's Fifth-type bare-hand routines_Shaolinquan Group B,9,EGY,Mohamed SHALABI,7.9,
,Men's Fifth-type bare-hand routines_Shaolinquan Group B,10,EGY,Elsayed ELSHERBINI,7.66,
Wushu Taolu,Men's bare-hand routines -Other routines Group B,1,USA,Nathan CHAN,8.46,Gold
,Men's bare-hand routines -Other routines Group B,2,USA,Alphard SHI,8.41,Silver
,Men's bare-hand routines -Other routines Group B,3,USA,Julian THIO,8.38,Bronze
,Men's bare-hand routines -Other routines Group B,4,USA,Aaron FENG,8.37,Second Prize
,Men's bare-hand routines -Other routines Group B,5,ITA,Mark SECCI,8.36,Second Prize
,Men's bare-hand routines -Other routines Group B,6,FRA,Aaron COHEN,8.33,Third Prize
,Men's bare-hand routines -Other routines Group B,7,ROU,Andrei UDISTEANU ASLAN,8.27,Third Prize
,Men's bare-hand routines -Other routines Group B,8,BRU,Qayden Ming Yi YII,8.25,Third Prize
,Men's bare-hand routines -Other routines Group B,9,EGY,Taha SHARABIA,8.21,Third Prize
,Men's bare-hand routines -Other routines Group B,10,USA,Brayden ROLDAN,8.21,Third Prize
,Men's bare-hand routines -Other routines Group B,11,USA,Gottlieb ZHU,8.19,
,Men's bare-hand routines -Other routines Group B,12,USA,Eric CHENG,8.18,
,Men's bare-hand routines -Other routines Group B,13,CAN,Jixiang YU,8.17,
,Men's bare-hand routines -Other routines Group B,14,HUN,Bence VIDA,8.13,
,Men's bare-hand routines -Other routines Group B,Default,USA,Jayden CANDRA,,
Wushu Taolu,Women's Third-type bare-hand routines Group A,1,USA,Ryan NGO,7.44,First Prize
,Women's Third-type bare-hand routines Group A,2,NZL,Ariella Leyao LIUCHEN,7.42,First Prize
,Women's Third-type bare-hand routines Group A,3,MAC,IAO Chi Iao,7.39,Second Prize
,Women's Third-type bare-hand routines Group A,4,HKG,XIA Wan Zhi Grace,7.35,Second Prize
,Women's Third-type bare-hand routines Group A,5,USA,Emily LU,7.3,Third Prize
,Women's Third-type bare-hand routines Group A,6,USA,Joyce ZHANG,7.28,Third Prize
,Women's Third-type bare-hand routines Group A,7,USA,Scarlett Lee BAUTISTA,7.19,Third Prize
Wushu Taolu,Women's Fourth-type bare-hand routine_Chaquan Group,1,SGP,TAN Zhi Tong,7.52,First Prize
,Women's Fourth-type bare-hand routine_Chaquan Group,2,HKG,FENG Yik Man,7.45,First Prize
,Women's Fourth-type bare-hand routine_Chaquan Group,3,USA,Summer ZHANG,7.41,Second Prize
,Women's Fourth-type bare-hand routine_Chaquan Group,4,HKG,LAU Azaria Hiu Yu,7.33,Second Prize
,Women's Fourth-type bare-hand routine_Chaquan Group,5,USA,Reiya TANG,7.3,Third Prize
,Women's Fourth-type bare-hand routine_Chaquan Group,6,USA,Mochen Jasmine LI,7.27,Third Prize
,Women's Fourth-type bare-hand routine_Chaquan Group,7,USA,Amy ZHANG,7.18,Third Prize
,Women's Fourth-type bare-hand routine_Chaquan Group,8,USA,Lizbeth DENG,7.17,
Wushu Taolu,Women's Other bare-hand routines_Group A,1,KAZ,Aiaru MUKHAMETOVA,7.71,Gold
,Women's Other bare-hand routines_Group A,2,SGP,SOH Camille Yu Rou,7.58,Silver
,Women's Other bare-hand routines_Group A,3,USA,Florence Linh Lan KYI,7.56,Bronze
,Women's Other bare-hand routines_Group A,4,USA,Anya AN,7.53,First Prize
,Women's Other bare-hand routines_Group A,5,LAT,Anna ZABLOCKA,7.47,Second Prize
,Women's Other bare-hand routines_Group A,6,USA,Quinn Yiren LIU,7.44,Second Prize
,Women's Other bare-hand routines_Group A,7,BRU,Hannah TAN,7.43,Second Prize
,Women's Other bare-hand routines_Group A,8,USA,Emina JIAN,7.42,Second Prize
,Women's Other bare-hand routines_Group A,9,INA,Raisya Aliya WIBOWO,7.39,Third Prize
,Women's Other bare-hand routines_Group A,10,USA,Angelina YU,7.38,Third Prize
,Women's Other bare-hand routines_Group A,11,NZL,Jessica QIAO,7.37,Third Prize
,Women's Other bare-hand routines_Group A,12,USA,Madelyn WANG,7.36,Third Prize
,Women's Other bare-hand routines_Group A,13,AUS,Aphrael HONG,7.33,Third Prize
,Women's Other bare-hand routines_Group A,14,USA,Stella SUN,7.28,
,Women's Other bare-hand routines_Group A,15,MAC,CHAN U Chek,7.24,
,Women's Other bare-hand routines_Group A,16,USA,Angela WONG,7.21,
Wushu Taolu,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,1,UKR,Daniil FESHCHENKO,8.95,Gold
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,2,HKG,TING Kin Sing Kinson,8.85,Silver
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,3,IND,Divyansh Manoj GUPTA,8.73,Bronze
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,4,TJK,Abbos JURAEV,8.65,Second Prize
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,5,FRA,Kévin KE,8.62,Second Prize
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,6,GEO,Tornike NANIKASHVILI,8.6,Third Prize
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,7,ITA,Gabriele PALLOTTA,8.58,Third Prize
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,8,ROU,Florin Alexandru BARICA,8.56,Third Prize
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,9,BUL,Mario PETRUNOV,8.55,Third Prize
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,10,ARG,Elias Edgardo CHAIHORT,8.54,Third Prize
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,11,ROU,Ioan Daniel STAN,8.52,
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,12,GEO,Beka PURTSELADZE,8.5,
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,13,BUL,Georgi NIKOLOV,8.49,
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,14,GEO,Kakha SARDALISHIVLI,8.4,
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,Default,GEO,Dimitri PHURTSELADZE,,
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,Default,EGY,Nasr SALEM,,
Wushu Taolu,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group D,1,UKR,Danylo POTURYMETS,8.99,First Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group D,2,BRA,Anthony DA SILVA CAPELAZZO,8.83,Second Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group D,3,GRE,Konstantinos LAMPADAS,8.72,Second Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group D,4,NED,Ferran Tomás NIEUWKAMER SANCHEZ,8.71,Third Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group D,5,BRA,Flavio Henrique CASSIANO,8.68,Third Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group D,6,BRA,Rodrigo DE LIMA DANTAS,8.65,Third Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group D,7,POL,Filip Michal PARAFIńSKI,8.64,
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group D,8,BRA,Guilherme Henrique SOUZA DE OLIVEIRA,8.59,
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group D,9,USA,Alexander Martin CHOI,8.48,
Wushu Taolu,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,1,AIN,Kamil KHALILIULIN,9,Gold
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,2,MAC,LEONG Chou Fong,8.98,Silver
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,3,AIN,Dierbek DUISHABOEV,8.93,Bronze
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,4,POL,Tomasz BILUT,8.88,Second Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,5,AIN,Dmitrii TIUNOV,8.86,Second Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,6,AIN,Tikhon NIKITIN,8.84,Second Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,7,AIN,Rinat KUCHUMOV,8.79,Third Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,8,SGP,YAP Wei Sheng Wilson,8.77,Third Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,9,AUS,Xun Tao HUANG,8.72,Third Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,10,CZE,Petr BURES,8.7,Third Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,11,ITA,Matteo TESTARDINI,8.69,Third Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,12,AUS,Jacky CHEN,8.68,Third Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,13,CZE,Matej KRATKY,8.66,
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,14,POL,Lukasz Mateusz MASLANKA,8.57,
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,15,AUS,Kin Cheung HO,8.54,
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,16,POL,Franciszek Jan DERZKO,8.5,
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,17,AUS,Nathan NGHIEM,8.42,
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,18,SVK,Radoslav MORAVcíK,8.41,
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,19,AUS,Xun Hao HUANG,8.36,
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,20,GBR,Guy Richard Ian TOKLEY,8.33,
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,Default,SRI,Oshan Chalakshana WITHANAGE,,
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,Default,AUS,Fan-bo KONG,,
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,Default,ALG,Belghazi ZINE EL ABIDINE,,
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group D,Default,FRA,Noe BOURDET,,
Wushu Taolu,Men's Nanquan-type routines_Other routines Group D,1,MAC,CHEUNG Ioi Chit,8.95,Gold
,Men's Nanquan-type routines_Other routines Group D,2,AUS,Fan-bo KONG,8.86,Silver
,Men's Nanquan-type routines_Other routines Group D,3,ITA,Alessandro SIRTO,8.79,Bronze
,Men's Nanquan-type routines_Other routines Group D,4,GEO,Giorgi ONIANI,8.74,Second Prize
,Men's Nanquan-type routines_Other routines Group D,5,TUR,Deniz SABOTIC,8.72,Second Prize
,Men's Nanquan-type routines_Other routines Group D,6,BRA,Caio Cesar ZANA,8.68,Second Prize
,Men's Nanquan-type routines_Other routines Group D,7,SGP,CHENG Kei Win,8.62,Third Prize
,Men's Nanquan-type routines_Other routines Group D,8,BRA,Pedro CORREA LEMES,8.61,Third Prize
,Men's Nanquan-type routines_Other routines Group D,9,TJK,Ilyoskhon VALIEV,8.51,Third Prize
,Men's Nanquan-type routines_Other routines Group D,10,IND,Ranjeet SINGH,8.5,Third Prize
,Men's Nanquan-type routines_Other routines Group D,11,USA,Micah JUMAN,8.46,Third Prize
,Men's Nanquan-type routines_Other routines Group D,12,ROU,Victor HASIEGANU,8.43,
,Men's Nanquan-type routines_Other routines Group D,13,HUN,Gergely Lóránd BoDY,8.42,
,Men's Nanquan-type routines_Other routines Group D,14,USA,Rory HYTREK,8.33,
,Men's Nanquan-type routines_Other routines Group D,15,ARG,Alejandro Oscar OVIEDO,8.22,
,Men's Nanquan-type routines_Other routines Group D,16,IND,Bhav SHRIMALI,7.89,
,Men's Nanquan-type routines_Other routines Group D,Default,ROU,Mihai IOANA,,
Wushu Taolu,Women's First-type bare-hand routines_Bajiquan Group D,1,JPN,ODAGIRI Emi,8.7,First Prize
,Women's First-type bare-hand routines_Bajiquan Group D,2,MEX,Michelle MENA TORRES,8.66,Second Prize
,Women's First-type bare-hand routines_Bajiquan Group D,3,MAC,LIAO Chio Weng,8.65,Second Prize
,Women's First-type bare-hand routines_Bajiquan Group D,4,MEX,Karime Janet MORALES CASAS,8.63,Third Prize
,Women's First-type bare-hand routines_Bajiquan Group D,5,FRA,Alexandra CARVALHEIRO,8.51,Third Prize
,Women's First-type bare-hand routines_Bajiquan Group D,6,MEX,Marisol Guadalupe AISPURO BRINGAS,8.49,Third Prize
,Women's First-type bare-hand routines_Bajiquan Group D,7,AUT,Fu Yao Zi WANG,8.43,
,Women's First-type bare-hand routines_Bajiquan Group D,8,TJK,Eleonora FAIZOVA,7.96,
,Women's First-type bare-hand routines_Bajiquan Group D,Default,ALG,Becharef MAROUA RACHA,,
Wushu Taolu,Women's First-type bare-hand routines_Baguazhang Group D,1,CHN,DUAN Jing,9.23,Gold
,Women's First-type bare-hand routines_Baguazhang Group D,2,TUR,Zeynep Makbule AKYUZ,8.86,Silver
,Women's First-type bare-hand routines_Baguazhang Group D,3,EGY,Jana Emad Mohamed Mostafa,8.82,Bronze
,Women's First-type bare-hand routines_Baguazhang Group D,4,LAT,Polina MALAHOVA,8.77,Second Prize
,Women's First-type bare-hand routines_Baguazhang Group D,5,KGZ,Eles KOKUMBEK KYZY,8.73,Second Prize
,Women's First-type bare-hand routines_Baguazhang Group D,6,MEX,Grace Guadalupe DE LA ROSA LIRA,8.61,Third Prize
,Women's First-type bare-hand routines_Baguazhang Group D,7,ITA,Maria FAJRI,8.6,Third Prize
,Women's First-type bare-hand routines_Baguazhang Group D,8,MAC,LEI Un Si,8.52,Third Prize
,Women's First-type bare-hand routines_Baguazhang Group D,9,IND,Isha MISHRA,8.51,Third Prize
,Women's First-type bare-hand routines_Baguazhang Group D,10,AUS,Jian Yi KOO,8.48,
,Women's First-type bare-hand routines_Baguazhang Group D,11,USA,Jessica ZOU,8.33,
