Page,Form,Rank,Team,Athlete,Score,Remark
,Men's Fifth-type bare-hand routines_Shaolinquan Group C,12,AUS,Fan-rong KONG,8.33,
,Men's Fifth-type bare-hand routines_Shaolinquan Group C,13,EGY,Mohanad ISMAIL,8.08,
,Men's Fifth-type bare-hand routines_Shaolinquan Group C,14,EGY,Mazen MOHAMED,7.96,
,Men's Fifth-type bare-hand routines_Shaolinquan Group C,15,EGY,Mohamed SELMI,7.9,
,Men's Fifth-type bare-hand routines_Shaolinquan Group C,16,EGY,Nour ELEMAM,7.85,
Wushu Taolu,Men's bare-hand routines_Other routines Group C,1,AIN,Aleksandr SURKOV,8.68,First Prize
,Men's bare-hand routines_Other routines Group C,2,USA,Jasper Zhen Bao LI,8.63,Second Prize
,Men's bare-hand routines_Other routines Group C,3,KAZ,Nurlan MUSTAFIN,8.6,Second Prize
,Men's bare-hand routines_Other routines Group C,4,LAT,Nikita MATVEJEVS,8.57,Third Prize
,Men's bare-hand routines_Other routines Group C,5,USA,Landau TZOU,8.54,Third Prize
,Men's bare-hand routines_Other routines Group C,6,USA,Preston FARR,8.45,Third Prize
,Men's bare-hand routines_Other routines Group C,7,GRE,DINAKU ALEXANDROS,8.35,
,Men's bare-hand routines_Other routines Group C,8,BRU,Ayden Chun Zhen LOO,8.33,
