Sex,Form,Group,Team,Athlete,Score
M,Third type bare hand routines,C,CAN,WANG Tengyi,8.42
M,Third type bare hand routines,C,CZE,Moris BENYSEK,8.38
M,Third type bare hand routines,C,MEX,Arhat MENEZ ALARCON,8.37
M,Third type bare hand routines,C,USA,Luke WAGNER,8.36
M,Fourth type bare hand routine Chaquan,C,EGY,Ammar mohamed ibrahim Sonbol,8.71
M,Fourth type bare hand routine Chaquan,C,KAZ,Kirill MALEYEV,8.68
M,Fourth type bare hand routine Chaquan,C,TUN,El Mabrouk RAFED,8.56
M,Fourth type bare hand routine Chaquan,C,USA,Lawren BAI,8.53
M,Fourth type bare hand routine Chaquan,C,GEO,Nikolozi NUTSUBIDZE,8.51
M,Fourth type bare hand routine Chaquan,C,IND,Aatish Raj RAJKUMAR,8.39
M,Fourth type bare hand routine Chaquan,C,USA,Sean WAGNER,8.38
M,Fifth type bare hand routines Shaolinquan,C,KAZ,Alizhan MUKHAMETOV,8.69
M,Fifth type bare hand routines Shaolinquan,C,ITA,Giorgio BELMONTE,8.59
M,Fifth type bare hand routines Shaolinquan,C,GRE,Georgios LABOUSIS,8.57
M,Fifth type bare hand routines Shaolinquan,C,GRE,Charalambos Iosif MATHIOPOULOS,8.54
M,Fifth type bare hand routines Shaolinquan,C,GRE,Stefanos LINAKIS,8.51
M,Fifth type bare hand routines Shaolinquan,C,USA,Nathaniel FONG,8.49
M,Fifth type bare hand routines Shaolinquan,C,GRE,Evaggelos FOTEINOGIANNOPOULOS,8.48
M,Fifth type bare hand routines Shaolinquan,C,ROU,Darius Valentin URUCU,8.44
M,Fifth type bare hand routines Shaolinquan,C,KAZ,Ilya POTSKHVERIYA,8.41
M,Fifth type bare hand routines Shaolinquan,C,USA,Eshaan NAIR,8.37
M,Fifth type bare hand routines Shaolinquan,C,USA,Aaron LEE,8.36
M,Fifth type bare hand routines Shaolinquan,C,AUS,Fan-rong KONG,8.33
M,Fifth type bare hand routines Shaolinquan,C,EGY,Mohanad ISMAIL,8.08
M,Fifth type bare hand routines Shaolinquan,C,EGY,Mazen MOHAMED,7.96
M,Fifth type bare hand routines Shaolinquan,C,EGY,Mohamed SELMI,7.9
M,Fifth type bare hand routines Shaolinquan,C,EGY,Nour ELEMAM,7.85
M,bare hand routines Other routines,C,AIN,Aleksandr SURKOV,8.68
M,bare hand routines Other routines,C,USA,Jasper Zhen Bao LI,8.63
M,bare hand routines Other routines,C,KAZ,Nurlan MUSTAFIN,8.6
M,bare hand routines Other routines,C,LAT,Nikita MATVEJEVS,8.57
