,sex,Form,Group,Rank,Team,Athlete,Score,Remark
124,M,bare-hand routines_Other routines ,Group D,19,GRE,Ioannis TASOPOULOS,8.72,
125,M,bare-hand routines_Other routines ,Group D,20,USA,Andrew TAN,8.7,
126,M,bare-hand routines_Other routines ,Group D,21,IND,Arkeshwar MEDATWAL,8.69,
127,M,bare-hand routines_Other routines ,Group D,22,HUN,Bálint PINTéR,8.67,
128,M,bare-hand routines_Other routines ,Group D,Default,NZL,Ethan DE GUZMAN,NA,
129,M,bare-hand routines_Other routines ,Group D,Default,SWE,Ted Fredrik ANDERSSON,NA,
130,M,Nanquan-type routines_Huquan ,Group D,1,CHN,CAO Huize,9.28,First Prize
131,M,Nanquan-type routines_Huquan ,Group D,2,HKG,CHOW Chun Yu,9.12,Second Prize
132,M,Nanquan-type routines_Huquan ,Group D,3,AIN,Gleb BURDOV,9.03,Second Prize
133,M,Nanquan-type routines_Huquan ,Group D,4,UKR,Mykyta KOVALOV,8.86,Third Prize
134,M,Nanquan-type routines_Huquan ,Group D,5,TUR,Kaan KUCUKAKYUZ,8.83,Third Prize
135,M,Nanquan-type routines_Huquan ,Group D,6,USA,Lyman CHEN,8.79,Third Prize
136,M,Nanquan-type routines_Huquan ,Group D,7,ESP,Francisco COLLADO SAIZ,8.78,
137,M,Nanquan-type routines_Huquan ,Group D,Default,ESP,Dan RIO RODRIGUEZ,NA,
138,M,bare-hand routines-Other routines ,Group F,1,CHN,XU Yuhuan,9.08,Gold
139,M,bare-hand routines-Other routines ,Group F,2,POR,Alcino CUNHA,8.74,Silver
140,M,bare-hand routines-Other routines ,Group F,3,RSA,Allan Jonathan HACKNER,8.72,Bronze
141,M,bare-hand routines-Other routines ,Group F,4,USA,Ebert KAN,8.71,Second Prize
142,M,bare-hand routines-Other routines ,Group F,5,JPN,OTAKA Kazuhiko,8.68,Second Prize
143,M,bare-hand routines-Other routines ,Group F,6,SGP,KWAN Siew Hung,8.67,Second Prize
144,M,bare-hand routines-Other routines ,Group F,7,HUN,Mihály József KOSZOGOVITS,8.55,Third Prize
145,M,bare-hand routines-Other routines ,Group F,8,BRA,Roberto DOS SANTOS DE OLIVEIRA,8.53,Third Prize
146,M,bare-hand routines-Other routines ,Group F,9,JPN,FUKUNISHI Tadashi,8.49,Third Prize
147,M,bare-hand routines-Other routines ,Group F,10,USA,Jeffrey REXFORD,8.44,Third Prize
148,M,bare-hand routines-Other routines ,Group F,11,TUN,Hamli OTHMAN,8.41,
149,M,bare-hand routines-Other routines ,Group F,12,KGZ,Evgenii LOPATKIN,8.36,
150,M,bare-hand routines-Other routines ,Group F,13,USA,John JOSEPHSON,8.16,
151,M,bare-hand routines-Other routines ,Group F,Default,USA,Kenneth DELLAPENTA,NA,
152,M,bare-hand routines-Other routines ,Group F,Default,ARG,Carlos DíAZ,NA,
153,M,bare-hand routines-Other routines ,Group F,Default,ARG,Claudio Walter SCHUMPERLI,NA,
154,M,First-type bare-hand routines ,Group E,1,BRA,Sergio Minoru TANOSHI,8.86,First Prize
155,M,First-type bare-hand routines ,Group E,2,JPN,TAKEUCHI Takashi,8.75,Second Prize
156,M,First-type bare-hand routines ,Group E,3,AUS,Mitchell BROWN,8.73,Third Prize
157,M,First-type bare-hand routines ,Group E,4,HUN,Géza Zoltán SIMON,8.63,Third Prize
158,M,First-type bare-hand routines ,Group E,Default,SRI,Mahen Jithendra AMARASINGHE,NA,
159,M,First-type bare-hand routines ,Group E,Default,SEN,Mamadou FALL,NA,
160,M,Third-type bare-hand routines_Tanglangquan (Mantis Style) ,Group E,1,GBR,Jonathan Wai Kit LAM,8.98,First Prize
161,M,Third-type bare-hand routines_Tanglangquan (Mantis Style) ,Group E,2,FRA,Yun - Yaw CHU,8.78,Second Prize
162,M,Third-type bare-hand routines_Tanglangquan (Mantis Style) ,Group E,3,POR,Daniel DAVID,8.76,Second Prize
163,M,Third-type bare-hand routines_Tanglangquan (Mantis Style) ,Group E,4,AUS,Sherman Shu Hang MAK,8.73,Third Prize
164,M,Third-type bare-hand routines_Tanglangquan (Mantis Style) ,Group E,5,POR,António INáCIO,8.66,Third Prize
165,M,Third-type bare-hand routines_Tanglangquan (Mantis Style) ,Group E,6,POR,Alexander PONZO,8.6,
166,M,Fifth-type bare-hand routines_Shaolinquan ,Group E,1,USA,Mario SALAZAR,9.06,First Prize
167,M,Fifth-type bare-hand routines_Shaolinquan ,Group E,2,USA,Mario ALVAREZ BERNAL,8.98,Second Prize
168,M,Fifth-type bare-hand routines_Shaolinquan ,Group E,3,USA,Matthew WHITAKER HOPWOOD,8.64,Second Prize
169,M,Fifth-type bare-hand routines_Shaolinquan ,Group E,4,ARG,Jacobo Enrique AVILES PALACIOS,8.61,Third Prize
170,M,Fifth-type bare-hand routines_Shaolinquan ,Group E,5,MEX,Daniel Benjamin CORONA AGUILAR,8.58,Third Prize
171,M,Fifth-type bare-hand routines_Shaolinquan ,Group E,6,ROU,Florin IOANA,8.52,Third Prize
172,M,Fifth-type bare-hand routines_Shaolinquan ,Group E,7,TJK,Khurshedjon MULLOBOEV,8.36,
173,M,bare-hand routines_Other routines ,Group E,1,ESP,Jose Luis MORALES GARCIA,9.11,Gold
174,M,bare-hand routines_Other routines ,Group E,2,ESP,Vicente Miguel RAJA CATALA,9.1,Silver
175,M,bare-hand routines_Other routines ,Group E,3,USA,Gerard SILVA,8.88,Bronze
176,M,bare-hand routines_Other routines ,Group E,4,FRA,Ludovic REY,8.85,Second Prize
177,M,bare-hand routines_Other routines ,Group E,5,FRA,Alexandre PATUREL,8.83,Second Prize
