id,winner,card
18324,TRUE,Wizard
18324,TRUE,Rocket
18324,TRUE,Giant Skeleton
19098,FALSE,Witch
19098,FALSE,The Log
19098,FALSE,Giant
19098,FALSE,Arrows
19098,FALSE,Minion Horde
19098,FALSE,Skeleton Army
19098,FALSE,Graveyard
19098,FALSE,Miner
18853,FALSE,Mega Knight
18853,FALSE,Ice Wizard
18853,FALSE,Elite Barbarians
18853,FALSE,Magic Archer
18853,FALSE,Electro Wizard
18853,FALSE,P.E.K.K.A
18853,FALSE,Executioner
18853,FALSE,Zap
5575,TRUE,Ice Spirit
5575,TRUE,Zap
5575,TRUE,Archers
5575,TRUE,Minions
5575,TRUE,Elite Barbarians
5575,TRUE,Ice Golem
5575,TRUE,Fireball
5575,TRUE,Hog Rider
4683,TRUE,Giant Skeleton
4683,TRUE,Witch
4683,TRUE,Royal Giant
4683,TRUE,P.E.K.K.A
4683,TRUE,Fireball
4683,TRUE,Magic Archer
4683,TRUE,Royal Recruits
4683,TRUE,Golem
19192,TRUE,Arrows
19192,TRUE,Minions
19192,TRUE,Mini P.E.K.K.A
19192,TRUE,Goblin Barrel
19192,TRUE,Bandit
19192,TRUE,Electro Wizard
19192,TRUE,Magic Archer
19192,TRUE,Ram Rider
18699,TRUE,Hunter
18699,TRUE,P.E.K.K.A
18699,TRUE,Royal Giant
18699,TRUE,Zap
18699,TRUE,Skeleton Army
18699,TRUE,Goblin Barrel
18699,TRUE,Wizard
18699,TRUE,Ice Wizard
60,FALSE,Ice Wizard
