Name,Age,AgeClass,BodyweightKg,Squat,Bench,Deadlift,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Date,AgeClassInd
Daniel Loro Rodriguez,17.5,18-19,82.9,197.5,97.5,205,500,7,337.77,333.99,321.29,69.26,2021-06-26,0
Max Rivera,17.5,18-19,79.4,165,107.5,192.5,465,7,322.07,318.97,307.44,65.83,2018-11-18,0
Jordan HochStein,18,18-19,88,160,110,182.5,452.5,11,295.97,292.27,280.39,50.55,2007-03-30,0
Madhuran Selvaa,18,18-19,97.3,195,120,227.5,542.5,2,337.98,333.92,319.12,69.44,2022-10-29,0
Niko Francis,17.5,18-19,100.7,135,80,175,390,1,239.33,236.69,226.05,49.11,2025-07-12,0
Jeremiah Mangiaracina,18.5,18-19,51.41,25,25,110,160,1,154.92,158.9,156.59,26.07,2022-03-26,0
Isaiah Baucom,18.5,18-19,87.75,175,120,195,490,3,320.97,316.97,304.13,65.96,2025-02-15,0
Riley Fleming,18,18-19,101.8,175,100,210,485,1,296.26,293.12,279.9,60.75,2024-03-09,0
Botond Molnár,17.5,18-19,90.5,150,92.5,180,422.5,24,272.43,268.97,257.72,56.01,2024-04-06,0
Leo Scott,18,18-19,80.8,200,122.5,222.5,545,2,373.62,369.76,356.12,76.48,2023-09-06,0
Gejza Bihari,18.5,18-19,45.5,105,80,132.5,317.5,7,348.09,361.37,358.18,57.69,1997-06-15,0
Khalid Span,18.5,18-19,74.3,200,120,202.5,522.5,7,377.12,374.77,362.26,64.58,2016-04-01,0
Drayton Bereit,18,18-19,76.5,150,90,175,415,4,294.03,291.72,281.63,59.89,2025-05-19,0
Christopher Mejean,17.5,18-19,89.1,90,57.5,122.5,270,1,175.47,173.26,166.12,36.07,2017-10-27,0
Sergey Fochenkov,17.5,18-19,92.4,230,115,225,570,8,363.8,359.18,343.86,62.02,2013-01-28,0
Cameron Horton,19,18-19,126.5,180,110,190,480,10,271.03,272.88,261.05,54.55,2025-04-03,0
Izek Keodouangdy,17.5,18-19,67.1,220,137.5,270,627.5,1,485.73,486.13,472.01,96.97,2024-04-04,0
Dalvin Chevalier,19.5,20-23,88.7,227.5,147.5,292.5,667.5,1,434.81,429.34,411.74,89.38,2022-06-25,0
Brendan Matsuyama,19.5,20-23,101.7,255,137.5,262.5,655,4,400.27,396.01,378.15,82.09,2016-09-24,0
船水 悠樹,22.5,20-23,129.5,250.5,150,250.5,651,1,364.95,368.46,352.06,73.25,2016-02-27,0
Nikolay Kovalenko,19.5,20-23,104.8,240,130,237.5,607.5,4,366.66,363.26,346.87,75.07,2018-02-24,0
Edmund Cai,22.5,20-23,90.9,220,147.5,227.5,595,9,382.82,377.95,362.07,78.71,2024-06-01,0
Tobias Huelva,20.5,20-23,83.7,195,122.5,222.5,540,7,362.84,358.67,344.89,74.43,2025-11-08,0
Joel Vikesland,21.5,20-23,92.49,237.5,157.5,322.5,717.5,1,457.72,451.91,432.62,94.12,2019-09-12,0
Bryce Dawson,23,20-23,92.2,210,135,242.5,587.5,2,375.36,370.59,354.82,77.18,2021-01-09,0
Oleksiy Kryvoshey,22.5,20-23,74.6,260,180,275,715,1,514.72,511.39,494.24,88.15,2006-04-13,0
C.H. Chandrashekhar,22.5,20-23,54.4,192.5,90,217.5,500,2,459.27,468.44,460.09,77.68,1985-09-20,0
Samuel Cane,19.5,20-23,103.1,225,120,232.5,577.5,12,350.9,347.36,331.68,71.91,2022-11-28,0
Ivan Gago Garcia,22.5,20-23,73.3,210,110,240,560,2,407.77,405.56,392.25,82.62,2024-02-23,0
Arthur Yeomans,20,20-23,81.1,160,102.5,200,462.5,1,316.38,313.07,301.47,64.78,2025-02-15,0
Thomas Salahub,19.5,20-23,100.22,230,147.5,267.5,645,3,396.63,392.2,374.58,81.4,2024-02-02,0
Dylan Garlepp,19.5,20-23,89.95,182.5,132.5,210,525,3,339.56,335.25,321.31,69.81,2024-08-17,0
