pick_overall,team,player_name,college,years_played,games_played,total_mins_played,total_pts,total_rebounds,total_assists,fg_percent,three_pt_percent,ft_percent,win_shares,win_shares_per_48,draft_year,mins_per_game,pts_per_game,rebounds_per_game,assists_per_game,round_picked,pick_in_round,draft_pick_group
20,SAS,James Anderson,Oklahoma State,5,247,4320,1422,560,291,0.411,0.321,0.755,3.3,0.037,2010,17.5,5.8,2.3,1.2,1,20,Picks 11-20
21,OKC,Craig Brackins,Iowa State,2,17,121,30,19,9,0.265,0.214,0.5,-0.2,-0.089,2010,7.1,1.8,1.1,0.5,1,21,Picks 21-30
22,POR,Elliot Williams,Memphis,4,109,1470,537,161,94,0.421,0.31,0.669,0.7,0.024,2010,13.5,4.9,1.5,0.9,1,22,Picks 21-30
23,MIN,Trevor Booker,Clemson,8,532,10872,3679,2932,566,0.515,0.305,0.636,26.2,0.116,2010,20.4,6.9,5.5,1.1,1,23,Picks 21-30
24,ATL,Damion James,Texas,4,39,623,150,131,26,0.415,0,0.667,0,-0.001,2010,16,3.8,3.4,0.7,1,24,Picks 21-30
25,MEM,Dominique Jones,South Florida,3,80,741,246,114,144,0.366,0.095,0.729,0.3,0.017,2010,9.3,3.1,1.4,1.8,1,25,Picks 21-30
26,OKC,Quincy Pondexter,Washington,7,355,5530,1609,640,263,0.423,0.356,0.746,9.7,0.084,2010,15.6,4.5,1.8,0.7,1,26,Picks 21-30
27,BRK,Jordan Crawford,Xavier,6,281,6843,3432,703,883,0.411,0.317,0.826,6.3,0.044,2010,24.4,12.2,2.5,3.1,1,27,Picks 21-30
28,MEM,Greivis Vásquez,Maryland,7,401,9520,3591,1021,1935,0.418,0.349,0.817,12.6,0.064,2010,23.7,9,2.5,4.8,1,28,Picks 21-30
29,ORL,Daniel Orton,Kentucky,3,51,542,143,126,24,0.485,0,0.597,1,0.093,2010,10.6,2.8,2.5,0.5,1,29,Picks 21-30
30,WAS,Lazar Hayward,Marquette,3,72,591,207,90,35,0.347,0.269,0.767,0.2,0.02,2010,8.2,2.9,1.3,0.5,1,30,Picks 21-30
1,CLE,Kyrie Irving,Duke,11,596,20220,13631,2279,3411,0.469,0.391,0.882,69.8,0.166,2011,33.9,22.9,3.8,5.7,1,1,Picks 1-10
2,MIN,Derrick Williams,Arizona,7,428,8864,3809,1693,293,0.434,0.3,0.71,14.1,0.076,2011,20.7,8.9,4,0.7,1,2,Picks 1-10
3,UTA,Enes Freedom,NA,11,748,16101,8349,5822,638,0.548,0.289,0.777,52.8,0.157,2011,21.5,11.2,7.8,0.9,1,3,Picks 1-10
4,CLE,Tristan Thompson,Texas,11,707,19180,6462,6011,711,0.518,0.278,0.606,46.6,0.117,2011,27.1,9.1,8.5,1,1,4,Picks 1-10
5,TOR,Jonas Valančiūnas,NA,10,674,17559,8958,6338,771,0.563,0.366,0.784,65.4,0.179,2011,26.1,13.3,9.4,1.1,1,5,Picks 1-10
6,WAS,Jan Veselý,NA,3,162,2455,590,562,96,0.521,0,0.408,4,0.078,2011,15.2,3.6,3.5,0.6,1,6,Picks 1-10
7,SAC,Bismack Biyombo,NA,11,719,14521,3749,4423,433,0.53,0,0.565,29,0.096,2011,20.2,5.2,6.2,0.6,1,7,Picks 1-10
8,DET,Brandon Knight,Kentucky,9,449,13191,6299,1384,1777,0.411,0.353,0.807,11.7,0.043,2011,29.4,14,3.1,4,1,8,Picks 1-10
