player,level,gender,division,team_name,team_games
Austin Ngan,D1,Men,Division 1 Men,Michigan Magnum,5
Audrey Schneider,D1,Women,Division 1 Women,California - San Diego D-Co,5
Antonia Thommes,D1,Women,Division 1 Women,California - San Diego D-Co,5
Anthony Frattaroli,D3,Men,Division 3 Men,Berry Bucks,6
Anish Shrestha,D1,Men,Division 1 Men,Cal Ursa Major,5
Andy Wang,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Andrew Kim,D1,Men,Division 1 Men,Michigan Magnum,5
Andrew Fan,D1,Men,Division 1 Men,North Carolina Darkside,6
Andrew Carmody,D3,Men,Division 3 Men,Franciscan Fatal,6
Amiya Johnson,D1,Women,Division 1 Women,Michigan Flywheel,5
Amir Jeudy,D3,Men,Division 3 Men,Williams WUFO,6
amelia Whitacre,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,5
Alyssa Alvarez,D3,Women,Division 3 Women,Carleton Eclipse,6
Alexia Swiglo,D3,Women,Division 3 Women,St Olaf Vortex,5
Alexander Ertel,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Alex Tsvetkov,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Alec Minnicks,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
Alden Harcourt,D1,Men,Division 1 Men,Carleton CUT,5
Aidan Slovinski,D3,Men,Division 3 Men,Williams WUFO,6
Adrian Lin,D1,Men,Division 1 Men,Brown Brownian Motion,8
Aditya Vunnum,D1,Men,Division 1 Men,Cal Ursa Major,5
Adam Rothman,D1,Men,Division 1 Men,Carleton CUT,5
Adam Ricci,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Adam Cummings,D3,Men,Division 3 Men,Rochester Piggies,6
Acacia Hahn,D1,Women,Division 1 Women,Oregon Fugue,6
Abraham Lovich,D3,Men,Division 3 Men,Rochester Piggies,6
Abigail Montopoli,D3,Women,Division 3 Women,Occidental WAC,6
Abigail Clark,D1,Women,Division 1 Women,Georgia Athena,5
Siddharth Yende,D1,Men,Division 1 Men,Brown Brownian Motion,8
Andy Burris,D1,Men,Division 1 Men,Brown Brownian Motion,8
Walt Johnson,D1,Men,Division 1 Men,Colorado Mambird,7
Rachel Yao,D1,Women,Division 1 Women,North Carolina Pleiades,7
Rachel Lit,D1,Women,Division 1 Women,Stanford Superfly,7
Piper Fleming,D1,Women,Division 1 Women,Stanford Superfly,7
Nora Knudsen,D1,Women,Division 1 Women,Stanford Superfly,7
Marley Sussman,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Eugenia Chow,D1,Women,Division 1 Women,North Carolina Pleiades,7
Alex Hecht,D1,Women,Division 1 Women,North Carolina Pleiades,7
Zoe Lang,D3,Men,Division 3 Men,Lewis & Clark Bacchus,6
Wyatt Johnson,D3,Men,Division 3 Men,Berry Bucks,6
William Hassell,D3,Men,Division 3 Men,Carleton CHOP,6
Watkins Parker,D1,Men,Division 1 Men,North Carolina Darkside,6
Victoria Green,D3,Women,Division 3 Women,Union Jillz,6
