tourney_name,surface,result,player,rank,hand,height,country,age,best_of,minutes,numAces,numDF,servePoints,first_serve_in,first_serve_won,second_serve_won,serve_games_won,break_points_saved,break_points_faced
Pune,Hard,Winner,Filip Krajinovic,54,R,185,SRB,30.8,3,144,8,1,89,58,47,17,15,2,3
Pune,Hard,Winner,Michael Mmoh,113,R,188,USA,24.9,3,88,3,1,49,29,22,12,9,2,3
Pune,Hard,Winner,Benjamin Bonzi,60,R,185,FRA,26.5,3,61,2,0,39,21,18,14,8,0,0
Pune,Hard,Winner,Laslo Djere,70,R,188,SRB,27.5,3,64,12,0,41,26,23,13,9,0,0
Pune,Hard,Loser,Alex Molcan,50,L,178,SVK,25,3,64,2,2,55,33,21,11,9,2,5
Pune,Hard,Winner,Maximilian Marterer,159,L,191,GER,27.5,3,112,12,1,65,41,33,13,13,0,2
Pune,Hard,Loser,Elias Ymer,127,R,183,SWE,26.7,3,112,5,2,84,47,30,19,13,2,6
Pune,Hard,Winner,Flavio Cobolli,171,R,NA,ITA,20.6,3,98,6,2,65,36,29,12,11,6,9
Auckland,Hard,Winner,Richard Gasquet,67,R,185,FRA,36.5,3,147,3,2,88,44,36,21,15,6,9
Auckland,Hard,Loser,Cameron Norrie,12,L,188,GBR,27.3,3,147,8,2,86,52,36,17,15,4,8
Auckland,Hard,Winner,Richard Gasquet,67,R,185,FRA,36.5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Auckland,Hard,Loser,Constant Lestienne,65,R,180,FRA,30.6,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Auckland,Hard,Winner,Cameron Norrie,12,L,188,GBR,27.3,3,98,3,0,48,31,27,11,10,3,4
Auckland,Hard,Winner,Constant Lestienne,65,R,180,FRA,30.6,3,166,5,1,118,77,54,19,16,14,18
Auckland,Hard,Loser,Laslo Djere,70,R,188,SRB,27.6,3,166,8,3,109,61,47,21,16,2,5
Auckland,Hard,Winner,Richard Gasquet,67,R,185,FRA,36.5,3,94,6,3,61,37,26,10,11,0,4
Auckland,Hard,Loser,David Goffin,53,R,180,BEL,32,3,94,8,2,64,37,20,9,10,7,13
Auckland,Hard,Loser,Quentin Halys,64,R,191,FRA,26.2,3,114,13,3,75,43,33,16,12,1,3
Auckland,Hard,Winner,Cameron Norrie,12,L,188,GBR,27.3,3,123,5,4,88,64,45,12,13,5,6
Auckland,Hard,Loser,Marcos Giron,60,R,180,USA,29.4,3,123,6,0,80,53,29,14,14,1,7
Auckland,Hard,Winner,Laslo Djere,70,R,188,SRB,27.6,3,127,18,1,98,67,49,21,15,6,7
Auckland,Hard,Loser,Casper Ruud,3,R,183,NOR,24,3,127,10,4,91,62,49,16,15,3,4
Auckland,Hard,Winner,Constant Lestienne,65,R,180,FRA,30.6,3,123,4,6,91,59,43,10,15,2,7
Auckland,Hard,Loser,Gregoire Barrere,88,R,183,FRA,28.8,3,123,7,0,92,64,42,17,16,4,8
Auckland,Hard,Winner,Richard Gasquet,67,R,185,FRA,36.5,3,97,7,1,60,35,29,16,10,2,2
Auckland,Hard,Loser,Joao Sousa,82,R,185,POR,33.7,3,97,1,4,65,42,29,10,10,3,5
Auckland,Hard,Winner,David Goffin,53,R,180,BEL,32,3,80,7,1,59,43,35,6,9,6,6
Auckland,Hard,Loser,Christopher Eubanks,123,R,201,USA,26.6,3,80,12,3,63,45,31,5,9,6,9
Auckland,Hard,Winner,Quentin Halys,64,R,191,FRA,26.2,3,67,10,2,42,32,30,6,9,0,0
Auckland,Hard,Loser,Ben Shelton,92,L,NA,USA,20.2,3,67,8,7,54,35,23,8,8,4,7
Auckland,Hard,Loser,Diego Schwartzman,25,R,170,ARG,30.3,3,48,0,1,22,17,8,2,3,2,4
Auckland,Hard,Winner,Marcos Giron,60,R,180,USA,29.4,3,94,3,1,52,37,31,11,10,2,2
Auckland,Hard,Loser,J J Wolf,66,R,183,USA,24,3,94,7,1,76,47,30,16,10,7,9
Auckland,Hard,Winner,Cameron Norrie,12,L,188,GBR,27.3,3,165,4,1,98,64,42,27,16,3,4
Auckland,Hard,Loser,Jiri Lehecka,78,R,185,CZE,21.1,3,165,6,0,102,68,47,16,15,8,11
Auckland,Hard,Winner,Laslo Djere,70,R,188,SRB,27.6,3,145,7,4,104,66,42,18,14,6,11
Auckland,Hard,Loser,Jaume Munar,62,R,183,ESP,25.6,3,145,4,5,89,53,35,15,14,3,9
Auckland,Hard,Winner,Constant Lestienne,65,R,180,FRA,30.6,3,70,7,1,41,30,24,5,8,1,2
Auckland,Hard,Loser,Pedro Cachin,59,R,185,ARG,27.7,3,70,1,0,53,34,18,7,8,7,12
Auckland,Hard,Winner,Gregoire Barrere,88,R,183,FRA,28.8,3,138,10,2,101,62,52,27,17,0,0
Auckland,Hard,Loser,John Isner,42,R,206,USA,37.7,3,138,28,2,109,73,53,21,16,2,3
Auckland,Hard,Winner,Richard Gasquet,67,R,185,FRA,36.5,3,80,5,0,35,24,22,10,8,0,0
Auckland,Hard,Winner,Christopher Eubanks,123,R,201,USA,26.6,3,119,6,0,91,64,50,16,12,6,6
Auckland,Hard,Loser,Ugo Humbert,108,L,188,FRA,24.5,3,119,9,4,83,51,43,18,12,4,4
Auckland,Hard,Winner,David Goffin,53,R,180,BEL,32,3,73,1,0,53,32,23,10,9,4,7
Auckland,Hard,Loser,Alexander Bublik,36,R,196,KAZ,25.5,3,73,6,6,62,35,21,8,10,0,6
Auckland,Hard,Winner,Ben Shelton,92,L,NA,USA,20.2,3,82,9,1,51,34,28,12,9,2,2
Auckland,Hard,Loser,Sebastian Baez,41,R,170,ARG,22,3,82,2,3,67,49,26,11,10,7,10
Auckland,Hard,Winner,Quentin Halys,64,R,191,FRA,26.2,3,53,20,0,53,34,32,9,10,1,1
Auckland,Hard,Loser,Alex Molcan,54,L,178,SVK,25.1,3,53,5,5,44,28,21,10,9,1,3
Auckland,Hard,Loser,Fabio Fognini,57,R,178,ITA,35.6,3,133,4,12,93,49,34,19,14,8,14
Auckland,Hard,Winner,J J Wolf,66,R,183,USA,24,3,109,7,1,72,51,35,12,11,2,4
Auckland,Hard,Loser,Adrian Mannarino,43,L,183,FRA,34.5,3,109,7,2,71,41,27,16,11,5,8
Auckland,Hard,Winner,Marcos Giron,60,R,180,USA,29.4,3,157,3,1,121,86,49,20,17,5,10
Auckland,Hard,Loser,Federico Coria,76,R,180,ARG,30.8,3,157,3,4,115,69,43,17,17,7,14
Auckland,Hard,Winner,Jiri Lehecka,78,R,185,CZE,21.1,3,88,5,1,58,35,29,16,11,1,1
Auckland,Hard,Loser,Thiago Monteiro,69,L,183,BRA,28.6,3,88,7,0,65,39,30,9,10,6,8
